Chronic sore throat	Chronic pharyngitis
Infection of meibomian gland	Internal hordeolum
Meibomian adenitis	Internal hordeolum
P. acne endophthalmitis	Propionibacterium acnes endophthalmitis
Recurrent ventral hernia	Recurrent hernia of anterior abdominal wall
Recurrent incisional hernia of anterior abdominal wall	Recurrent ventral incisional hernia
Allergy to drug	Drug allergy
Medication allergy	Drug allergy
Medicine allergy	Drug allergy
Polyarthritis	Undifferentiated inflammatory polyarthritis
Lacrimal passage granuloma	Lacrimal sac granuloma
Keratitis, chemical	Chemical keratitis
Closed fracture of bone	Closed fracture
Papilledema	Optic disc edema
Edema of optic disc	Optic disc edema
Herpes simplex type 2 genital infection	Genital herpes simplex type 2
Drug abuse, episodic	Episodic drug abuse
Congenital cervical spondylolisthesis	Congenital spondylolisthesis of cervical vertebra
Chronic organic brain syndrome	Chronic organic mental disorder
Bilateral lower lobe pneumonia	Bilateral basal pneumonia
Chronic lower UTI (urinary tract infection)	Chronic lower urinary tract infection
Iliohypogastric neuritis	Iliohypogastric nerve neuritis
Congenital hypoplasia of fovea	Congenital hypoplasia of fovea centralis
Foetal hydronephrosis	Fetal hydronephrosis
Closed head wound	Closed wound of head
Foetal microcephaly	Fetal microcephaly
Upper urinary tract infection of sudden onset AND/OR short duration	Acute upper urinary tract infection
Acute upper UTI (urinary tract infection)	Acute upper urinary tract infection
Urinary tract infection of sudden onset AND/OR short duration	Acute urinary tract infection
Acute UTI (urinary tract infection)	Acute urinary tract infection
Lower urinary tract infection of sudden onset AND/OR short duration	Acute lower urinary tract infection
Foetal macrocephaly	Fetal macrocephaly
Chronic pain, psychogenic	Chronic psychogenic pain
Chronic inflammation of uveal tract	Chronic uveitis
Childhood obesity BMI 95-100 percentile	Childhood obesity
Inflammation of bronchus due to Aspergillus	Aspergillus bronchitis
Inflammation of bronchus caused by Aspergillus	Aspergillus bronchitis
Eighth cranial nerve palsy	Vestibulocochlear nerve palsy
Adenocarcinoma of anorectum	Anorectal adenocarcinoma
Neoplasm of abdominal wall	Abdominal wall tumor
Dural arteriovenous fistula of spinal cord	Type I arteriovenous malformation of spinal cord
Type I spinal dural AV fistula	Type I arteriovenous malformation of spinal cord
Type I spinal dural arteriovenous fistula	Type I arteriovenous malformation of spinal cord
Intramedullary glomus arteriovenous malformation of spinal cord	Type II arteriovenous malformation of spinal cord
Intramedullary and extramedullary arteriovenous malformation of spinal cord	Type III arteriovenous malformation of spinal cord
Juvenile arteriovenous malformation of spinal cord	Type III arteriovenous malformation of spinal cord
Perimedullary arteriovenous fistula of spinal cord	Type IV arteriovenous malformation of spinal cord
Fetal congestive cardiomyopathy	Fetal dilated cardiomyopathy
Congenital obstruction of coronary sinus	Congenital occlusion of coronary sinus
Congenital obstruction of iliac vein	Congenital occlusion of iliac vein
Congenital obstruction of femoral vein	Congenital occlusion of femoral vein
Abrasion of conjunctiva	Conjunctival abrasion
Cortical myoclonus	Cerebral cortex myoclonus
Spinal myoclonus	Spinal cord myoclonus
Paratesticular malignant tumor	Paratesticular malignant neoplasm
Methylmethacrylate embolism	Methyl methacrylate embolism
Neoplasm of endolymphatic sac	Endolymphatic sac tumor
CFA - Cryptogenic fibrosing alveolitis	Chronic idiopathic pulmonary fibrosis
Cryptogenic fibrosing alveolitis	Chronic idiopathic pulmonary fibrosis
Scadding syndrome	Subacute idiopathic pulmonary fibrosis
Idiopathic fibrosing alveolitis, subacute form	Subacute idiopathic pulmonary fibrosis
Bilateral spastic cerebral palsy	Bilateral cerebral palsy
Metamizole sodium allergy	Dipyrone allergy
Allergy to Dermatophagoides pteronyssinus	Dermatophagoides pteronyssinus allergy
Closed articular fracture of head of femur	Closed intra-articular fracture of head of femur
Open fracture of scapular body	Open fracture of body of scapula
Closed fracture of physis of lesser toe	Closed fracture of epiphyseal plate of lesser toe
Closed fracture of physis of metatarsal bone	Closed fracture of epiphyseal plate of metatarsal bone
Closed fracture of physis of thumb	Closed fracture of epiphyseal plate of phalanx of thumb
Closed fracture of physis of great toe	Closed fracture of epiphyseal plate of phalanx of great toe
Closed fracture of physis of finger	Closed fracture of epiphyseal plate of phalanx of finger
Open fracture of lesser toe	Open fracture of phalanx of lesser toe
Open articular fracture of head of femur	Open intra-articular fracture of head of femur
Open acetabulum dome fracture	Open fracture of roof of acetabulum
Closed acetabulum dome fracture	Closed fracture of roof of acetabulum
Flagellate erythema	Flagellate dermatitis
Congenital left pulmonary arterial stenosis	Congenital stenosis of left pulmonary artery
Congenital right pulmonary arterial stenosis	Congenital stenosis of right pulmonary artery
Localized tooth hypoplasia	Localized hypoplasia of tooth
Asthma attack	Acute exacerbation of asthma
Idiopathic pulmonary fibrosis, acute fatal form	Acute idiopathic pulmonary fibrosis
Chronic erythema nodosum migrans	Chronic migratory panniculitis
Endophthalmitis caused by Acanthamoeba	Acanthamoeba endophthalmitis
Congenital rotated penis	Congenital penile torsion
Cranial nerve 5 palsy	Trigeminal nerve palsy
Fifth nerve palsy	Trigeminal nerve palsy
Adult cardiac tumor	Adult heart tumor
Heart tumor of childhood	Childhood neoplasm of heart
Heart tumour of childhood	Childhood neoplasm of heart
Partial atrioventricular canal	Partial defect of atrioventricular canal
Closed head injury	Closed injury of head
Valley fever	Acute coccidioidomycosis
Allergy to promestriene	Promestriene allergy
Allergy to casein	Casein allergy
Female perineocele	Female perineal hernia
Allergy to levofloxacin	Levofloxacin allergy
Allergy to atorvastatin	Atorvastatin allergy
Lesion of oropharynx	Oropharyngeal lesion
Musculocutaneous nerve paralysis	Musculocutaneous nerve palsy
Persistent mood disorder	Chronic mood disorder
Acute allergic conjunctivitis of right eye	Acute atopic conjunctivitis of right eye
Acute allergic conjunctivitis of left eye	Acute atopic conjunctivitis of left eye
Vitreous detachment of both eyes	Bilateral vitreous detachment
Khat abuse	Catha edulis abuse
Miraa abuse	Catha edulis abuse
Qat abuse	Catha edulis abuse
Gat abuse	Catha edulis abuse
Embolism of posterior cerebral artery	Posterior cerebral artery embolism
Chronic stroke	Chronic cerebrovascular accident
Closed fracture of left leg	Closed fracture of left lower limb
Closed fracture of right leg	Closed fracture of right lower limb
Closed fracture of left arm	Closed fracture of left upper limb
Closed fracture of right arm	Closed fracture of right upper limb
Pressure ulcer of right lower extemity	Pressure ulcer of right lower limb
Closed fracture of right collar bone	Closed fracture of right clavicle
Open fracture of proximal right upper arm	Open fracture of proximal right humerus
Open fracture of right kneecap	Open fracture of right patella
Open right radial fracture	Open fracture of right radius
Open left tibial fracture	Open fracture of left tibia
Open left ulnar fracture	Open fracture of left ulna
Open fracture of distal left upper arm	Open fracture of distal left humerus
Open fracture of neck of left upper leg bone	Open fracture of neck of left femur
Open fracture of distal right upper arm	Open fracture of distal right humerus
Open fracture of neck of right upper leg bone	Open fracture of neck of right femur
Open fracture of shaft of right upper leg bone	Open fracture of shaft of right femur
Open fracture of shaft of left upper leg bone	Open fracture of shaft of left femur
Open fracture of right upper leg bone	Open fracture of right femur
Open fracture of left upper leg bone	Open fracture of left femur
Open fracture of lateral condyle of right upper arm	Open fracture of lateral condyle of right humerus
Open fracture of right upper arm	Open fracture of right humerus
Open right tibial fracture	Open fracture of right tibia
Open right ulnar fracture	Open fracture of right ulna
Open fracture of shaft of left upper arm	Open fracture of shaft of left humerus
Open fracture of lateral condyle of left upper arm	Open fracture of lateral condyle of left humerus
Open fracture of left upper arm	Open fracture of left humerus
Open fracture of toe of right foot	Open fracture of phalanx of right foot
Open fracture of proximal left upper arm	Open fracture of proximal left humerus
Open fracture of proximal phalanx of great toe of right foot	Open fracture of proximal phalanx of right great toe
Open right great toe proximal phalanx fracture	Open fracture of proximal phalanx of right great toe
Open fracture of left kneecap	Open fracture of left patella
Open left radial fracture	Open fracture of left radius
Closed fracture of upper end of right humerus	Closed fracture of proximal right humerus
Closed fracture of upper end of left humerus	Closed fracture of proximal left humerus
Closed fracture of medial end of right clavicle	Closed fracture of sternal end of right clavicle
Closed fracture of medial end of left clavicle	Closed fracture of sternal end of left clavicle
Closed left collar bone fracture	Closed fracture of left clavicle
Closed fracture of right astragalus	Closed fracture of right talus
Closed fracture of left astragalus	Closed fracture of left talus
Closed fracture of physis of right great toe	Closed fracture of epiphyseal plate of phalanx of right great toe
Closed fracture of right lesser toe	Closed fracture of phalanx of right lesser toe
Closed fracture of left lesser toe	Closed fracture of phalanx of left lesser toe
Closed fracture of right kneecap	Closed fracture of right patella
Closed fracture of left kneecap	Closed fracture of left patella
Closed articular fracture of head of left femur	Closed intra-articular fracture of head of left femur
Closed fracture of right medial femoral condyle	Closed fracture of medial condyle of right femur
Closed fracture of left medial femoral condyle	Closed fracture of medial condyle of left femur
Closed fracture of right lateral femoral condyle	Closed fracture of lateral condyle of right femur
Closed fracture of left lateral femoral condyle	Closed fracture of lateral condyle of left femur
Closed fracture of right femoral condyle	Closed fracture of condyle of right femur
Closed fracture of left femoral condyle	Closed fracture of condyle of left femur
Closed fracture of right radial head	Closed fracture of head of right radius
Closed fracture of left radial head	Closed fracture of head of left radius
Closed fracture of right index finger	Closed fracture of phalanx of right index finger
Closed fracture of left index finger	Closed fracture of phalanx of left index finger
Closed fracture of right middle finger	Closed fracture of phalanx of right middle finger
Closed fracture of left middle finger	Closed fracture of phalanx of left middle finger
Closed fracture of right ring finger	Closed fracture of phalanx of right ring finger
Closed fracture of left ring finger	Closed fracture of phalanx of left ring finger
Closed fracture of right little finger	Closed fracture of phalanx of right little finger
Closed fracture of left little finger	Closed fracture of phalanx of left little finger
Closed fracture of right scapular body	Closed fracture of body of right scapula
Closed fracture of right radial neck	Closed fracture of neck of right radius
Closed fracture of left radial neck	Closed fracture of neck of left radius
Bilateral senile cataract	Bilateral age-related cataract
Senile cataract of both eyes	Bilateral age-related cataract
Open orbital fracture	Open fracture of orbit
Right pubic bone open fracture	Open fracture of right pubis
Left pubic bone open fracture	Open fracture of left pubis
Closed right pubic bone fracture	Closed fracture of right pubis
Closed right pubic bone fracture	Closed fracture of left pubis
Open right acetabular fracture	Open fracture of right acetabulum
Open occipital fracture	Open fracture of occipital bone
Open temporal bone fracture	Open fracture of temporal bone
Tendonitis of both achilles tendons	Bilateral achilles tendonitis
Inflammation of both achilles tendons	Bilateral achilles tendonitis
Bursitis of both trochanteric bursas	Bilateral trochanteric bursitis
Inflammation of both trochanteric bursas	Bilateral trochanteric bursitis
Partial thickness burn of right hand	Second degree burn of right hand
Partial thickness burn of left hand	Second degree burn of left hand
Conjunctivitis of both eyes	Bilateral conjunctivitis
Glaucoma of both eyes	Bilateral glaucoma
Plantar wart of both feet	Bilateral plantar wart
Fracture of mastoid	Mastoid fracture
Talalgia	Heel pain
Osteodynia	Bone pain
AP - Abdominal pain	Abdominal pain
Gonalgia	Knee pain
Arthralgia of knee	Knee pain
Knee joint pain	Knee pain
Prostatalgia	Prostatic pain
Prostatodynia	Prostatic pain
Prostate pain	Prostatic pain
Pain in vagina	Vaginal pain
Hip joint pain	Hip pain
Arthralgia of hip	Hip pain
Painful hand	Hand pain
Tender breasts	Breast tenderness
Arthralgia	Joint pain
Painful joint	Joint pain
Articular pain	Joint pain
Myalgia	Muscle pain
Muscle ache	Muscle pain
Myodynia	Muscle pain
Myosalgia	Muscle pain
Myoneuralgia	Muscle pain
Aching muscles	Muscle pain
Painful neck	Neck pain
Cervicalgia	Neck pain
Nonspecific pain in the neck region	Neck pain
Cervical pain	Neck pain
Neck ache	Neck pain
Visceral seizure	Abdominal seizure
Joint tender	Joint tenderness
RIF - Right iliac fossa pain	Right iliac fossa pain
Pain in right iliac fossa	Right iliac fossa pain
Pain in left iliac fossa	Left iliac fossa pain
LIF - Left iliac fossa pain	Left iliac fossa pain
Pain of vulva	Vulval pain
Temporary memory loss	Temporary loss of memory
Arthralgia of the hand	Hand joint pain
Arthralgia of sternoclavicular joint	Sternoclavicular joint pain
Arthralgia of acromioclavicular joint	Acromioclavicular joint pain
Arthralgia of elbow	Elbow joint pain
Arthralgia of wrist	Wrist joint pain
Arthralgia of metacarpophalangeal joint	Metacarpophalangeal joint pain
Arthralgia of proximal interphalangeal joint of finger	Proximal interphalangeal joint of finger pain
Arthralgia of distal interphalangeal joint of finger	Distal interphalangeal joint of finger pain
Arthralgia of sacroiliac joint	Sacroiliac joint pain
Arthralgia of tibiofibular joint	Tibiofibular joint pain
Arthralgia of ankle	Ankle joint pain
Arthralgia of subtalar joint	Subtalar joint pain
Arthralgia of talonavicular joint	Talonavicular joint pain
Arthralgia of 1st metatarsophalangeal joint	First metatarsophalangeal joint pain
Nipple pain	Nipple painful
Ataxic dysarthria	Cerebellar dysarthria
AKP - Anterior knee pain	Anterior knee pain
Pain of jaw	Jaw pain
Skin tender	Skin tenderness
Pain of ovary	Ovarian pain
Arthralgia of foot	Foot joint pain
Recurrent febrile fit	Recurrent febrile convulsion
Transient amnesia	Transient memory loss
Chronic pain in vagina	Chronic vaginal pain
Pain in both knees	Bilateral knee pain
Pain in both hip joints	Bilateral hip joint pain
Pain in both ankle joints	Bilateral ankle joint pain
Pain in both elbow joints	Bilateral elbow joint pain
Pain in both heels	Bilateral heel pain
LOA - Left occipitoanterior position	Left occipitoanterior position
ROA - Right occipitoanterior position	Right occipitoanterior position
Foetal head extended	Fetal head extended
Swollen ankle - edema	Ankle edema
Retinal hemorrhages	Retinal hemorrhage
Intraretinal hemorrhage	Retinal hemorrhage
Spasm of uterus	Uterine spasm
Heaping of retina	Retinal fold
Dragging of retina	Retinal fold
Bout of coughing	Paroxysmal cough
Fit of coughing	Paroxysmal cough
Paroxysm of coughing	Paroxysmal cough
Dot AND blot hemorrhage	Deep retinal hemorrhage
Retinal blot hemorrhages	Deep retinal hemorrhage
Deep intra-retinal hemorrhages	Deep retinal hemorrhage
Succinylcholine apnea	Suxamethonium apnea
Muscles tire easily	Muscle fatigue
Muscle tiredness	Muscle fatigue
Nodule of skin	Skin nodule
Cutaneous nodule	Skin nodule
Mucosal edema	Mucous membrane edema
NO - Nasal obstruction	Nasal obstruction
Nasal obstruction present	Nasal obstruction
Nasal airway obstruction	Nasal obstruction
Colloid bodies in retina	Retinal drusen
Bulging eardrum	Bulging tympanic membrane
Observations of vaginal bleeding	Vaginal bleeding
Bleeding from vagina	Vaginal bleeding
Observation of nipple bleeding	Nipple bleeding
Observation of bleeding of skin	Bleeding skin
Finding of bleeding of skin	Bleeding skin
Coxa valga	Hip joint valgus deformity
Knock-knees	Knee joint valgus deformity
Genu valgus	Knee joint valgus deformity
Knock-kneed	Knee joint valgus deformity
Limited mandibular protrusion	Limited jaw protrusion
Nodule of conjunctiva	Conjunctival nodule
Male baby	Baby male
Female baby	Baby female
